Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Chain A, Androgen receptor [Homo sapiens]",Homo sapiens,335,335,35%,9.00E-110,65.59,249,7ZU1_A
"Chain A, Androgen receptor [Homo sapiens]",Homo sapiens,335,335,35%,9.00E-110,65.59,249,5V8Q_A
"Chain A, Androgen receptor [Homo sapiens]",Homo sapiens,336,336,36%,1.00E-109,65.32,259,4QL8_A
"Chain A, Androgen receptor [Homo sapiens]",Homo sapiens,335,335,36%,1.00E-109,65.32,256,2AX9_A
"Chain A, Androgen receptor [Homo sapiens]",Homo sapiens,336,336,35%,1.00E-109,65.59,258,5T8E_A
"Chain A, Androgen receptor [Homo sapiens]",Homo sapiens,335,335,35%,1.00E-109,65.59,252,5JJM_A
"Chain A, Androgen receptor [Homo sapiens]",Homo sapiens,335,335,35%,1.00E-109,65.59,250,2HVC_A
"Chain A, Androgen receptor [Homo sapiens]",Homo sapiens,335,335,36%,1.00E-109,65.32,257,1XJ7_A
"Chain A, ANDROGEN RECEPTOR [Homo sapiens]",Homo sapiens,335,335,36%,1.00E-109,65.32,263,1E3G_A
,,,,,,,,
,,,,,,,,
,,,,,,,,
"		",,,,,,,,
