multiome_cluster,peak,chromosome,chromosome_norm,start,end,nearest_gene,distance_to_gene,nearest_feature_type,mean_logCPM_M,mean_logCPM_F,mean_logCPM_D,M_vs_F_logFC,M_vs_F_FDR,M_vs_I_logFC,M_vs_I_FDR,F_vs_I_logFC,F_vs_I_FDR,sig_M_vs_F,sig_M_vs_I,sig_F_vs_I,I_position_between_M_and_F,classification,total_counts_all_individuals,nonzero_individuals_all,mean_counts_all_individuals,max_counts_any_individual,total_counts_test_individuals,nonzero_individuals_test,mean_counts_test_individuals,max_counts_test_individual
1,NC-072787.1-15791422-15793157,NC-072787.1,NC_072787.1,15791422,15793157,spice1,12174,gene_body,6.387277868,5.896242431,6.607136461,0.532275876,0.753411652,-0.273012695,0.997691059,-0.805288571,0.11741201,FALSE,FALSE,TRUE,-0.447744859,Late Downregulated,762,23,33.13043478,106,534,19,28.10526316,63
1,NC-072785.1-15121005-15122124,NC-072785.1,NC_072785.1,15121005,15122124,tdrd9,0,gene_body,4.017419481,3.586565184,4.832133074,0.892910676,0.889787735,-0.834695843,0.997691059,-1.727606519,0.177483962,FALSE,FALSE,TRUE,-1.890925999,Late Downregulated,128,23,5.565217391,14,97,19,5.105263158,11
1,NC-072789.1-19798955-19799983,NC-072789.1,NC_072789.1,19798955,19799983,LOC111574163,0,gene_body,5.012159369,5.337512084,3.915952018,-0.281079738,0.95526441,1.509504229,0.825361633,1.790583967,0.008136406,FALSE,FALSE,TRUE,-3.369289082,Late Upregulated,217,23,9.434782609,26,161,19,8.473684211,18
1,NC-072785.1-5576698-5578863,NC-072785.1,NC_072785.1,5576698,5578863,gabrb1,0,gene_body,4.770399869,5.458543949,4.37215148,-0.729892817,0.77733766,0.596766764,0.997691059,1.326659581,0.11741201,FALSE,FALSE,TRUE,-0.578728206,Late Upregulated,242,23,10.52173913,25,179,19,9.421052632,19
1,NC-072770.1-39990230-39992845,NC-072770.1,NC_072770.1,39990230,39992845,pik3c2b,0,gene_body,6.20341466,6.640033151,5.975633438,-0.530574863,0.725399266,0.249147675,0.997691059,0.779722537,0.165821346,FALSE,FALSE,TRUE,-0.521693942,Late Upregulated,688,23,29.91304348,59,501,19,26.36842105,57
1,NC-072771.1-21615775-21617185,NC-072771.1,NC_072771.1,21615775,21617185,fam172a,0,gene_body,5.480314967,4.290784333,5.117448473,1.420628921,0.151678829,0.462264855,0.997691059,-0.958364066,0.566109234,TRUE,FALSE,FALSE,0.305050146,Progressively Downregulated,282,23,12.26086957,31,196,19,10.31578947,25
1,NC-072766.1-39392059-39393184,NC-072766.1,NC_072766.1,39392059,39393184,LOC129348612,16149,gene_body,4.776513724,3.421451414,4.462928118,1.934377924,0.151678829,0.376792192,0.997691059,-1.557585732,0.469483633,TRUE,FALSE,FALSE,0.23141785,Progressively Downregulated,147,22,6.391304348,36,97,19,5.105263158,11
1,NC-072776.1-4515356-4516050,NC-072776.1,NC_072776.1,4515356,4516050,plekhm3,0,gene_body,4.622243973,3.180170526,3.898379791,2.188295115,0.151678829,0.860648191,0.997691059,-1.327646923,0.718179284,TRUE,FALSE,FALSE,0.50196069,Progressively Downregulated,101,22,4.391304348,13,70,18,3.684210526,10
1,NC-072769.1-26698096-26699092,NC-072769.1,NC_072769.1,26698096,26699092,sorbs2a,0,gene_body,3.331967601,4.755174845,3.928372136,-2.015649244,0.151678829,-0.915942444,0.997691059,1.0997068,0.573243344,TRUE,FALSE,FALSE,0.419056703,Progressively Upregulated,129,22,5.608695652,16,83,18,4.368421053,11
2,NC-072774.1-19892886-19894606,NC-072774.1,NC_072774.1,19892886,19894606,pou3f1,9372,gene_body,6.936750956,7.786689554,6.930909382,-0.767368743,0.508180343,0.173158981,0.994215305,0.940527724,0.108039286,FALSE,FALSE,TRUE,-0.006872936,Late Upregulated,482,23,20.95652174,99,384,19,20.21052632,99
2,NC-072769.1-5470759-5472270,NC-072769.1,NC_072769.1,5470759,5472270,LOC111568895,0,gene_body,5.937069148,6.560468042,5.563264908,-1.032566869,0.604595259,0.428931308,0.988534442,1.461498177,0.108039286,FALSE,FALSE,TRUE,-0.599622881,Late Upregulated,220,23,9.565217391,58,165,19,8.684210526,58
2,NC-072773.1-26727351-26729232,NC-072773.1,NC_072773.1,26727351,26729232,LOC111586668,0,gene_body,6.71179102,5.662685212,5.988264789,1.394669598,0.086391593,0.726292223,0.938714801,-0.668377375,0.889541089,TRUE,FALSE,FALSE,0.689659923,Progressively Downregulated,184,23,8,20,137,19,7.210526316,17
2,NC-072773.1-5268262-5269237,NC-072773.1,NC_072773.1,5268262,5269237,tbc1d22b,0,gene_body,6.407882923,5.144375733,5.797321204,1.561362531,0.160204346,0.518123269,0.969815233,-1.043239262,0.782060016,TRUE,FALSE,FALSE,0.483227736,Progressively Downregulated,131,22,5.695652174,12,103,18,5.421052632,12
2,NC-072769.1-24775867-24777375,NC-072769.1,NC_072769.1,24775867,24777375,LOC111562847,0,gene_body,5.877118931,4.835221232,5.324344197,1.930815366,0.169838696,0.64413869,0.969662005,-1.286676676,0.789325831,TRUE,FALSE,FALSE,0.530546075,Progressively Downregulated,86,20,3.739130435,10,65,17,3.421052632,8
2,NC-072783.1-24789306-24790858,NC-072783.1,NC_072783.1,24789306,24790858,rab11fip3,0,gene_body,6.913464365,5.835738437,6.356622832,1.213398314,0.169838696,0.61168541,0.940662368,-0.601712903,0.889541089,TRUE,FALSE,FALSE,0.516681949,Progressively Downregulated,222,23,9.652173913,29,162,19,8.52631579,23
2,NC-072775.1-31346321-31347186,NC-072775.1,NC_072775.1,31346321,31347186,pard3ab,0,gene_body,4.689322074,6.188912596,5.614824131,-2.513564028,0.02065677,-1.999975479,0.618425338,0.513588549,0.956731995,TRUE,FALSE,FALSE,0.617169849,Progressively Upregulated,130,20,5.652173913,27,102,16,5.368421053,27
2,NC-072769.1-3196109-3197177,NC-072769.1,NC_072769.1,3196109,3197177,LOC111563084,10667,gene_body,5.108508908,6.353384697,5.50593434,-1.938645615,0.053092258,-1.265634324,0.917024686,0.673011292,0.85729762,TRUE,FALSE,FALSE,0.319249066,Progressively Upregulated,160,20,6.956521739,37,133,16,7,37
2,NC-072769.1-28564170-28565646,NC-072769.1,NC_072769.1,28564170,28565646,trnak-uuu,0,gene_body,4.733950713,6.159068004,5.616484801,-2.065340856,0.086391593,-1.405001145,0.917024686,0.660339711,0.889541089,TRUE,FALSE,FALSE,0.619271195,Progressively Upregulated,139,21,6.043478261,27,97,17,5.105263158,27
3,NC-072769.1-7465082-7468588,NC-072769.1,NC_072769.1,7465082,7468588,LOC111584070,531,gene_body,4.803489871,4.170754,5.604974417,0.817945491,0.992356351,-1.028139184,0.797721984,-1.846084675,0.003176351,FALSE,FALSE,TRUE,-1.266696867,Late Downregulated,192,23,8.347826087,18,147,19,7.736842105,17
3,NC-072784.1-1693030-1695533,NC-072784.1,NC_072784.1,1693030,1695533,igf2bp1,0,gene_body,4.912876002,3.677459989,5.049498658,1.837195707,0.280907379,-0.310349153,0.995176619,-2.14754486,0.011034817,FALSE,FALSE,TRUE,-0.110588381,Late Downregulated,138,22,6,12,112,19,5.894736842,12
3,NC-072780.1-25555133-25556354,NC-072780.1,NC_072780.1,25555133,25556354,pex11b,0,gene_body,3.539490286,4.515124532,3.478559807,-2.023704286,0.185169957,0.309272685,0.996336833,2.332976971,0.039078502,TRUE,FALSE,TRUE,-0.062452174,Late Upregulated,81,17,3.52173913,23,72,15,3.789473684,23
3,NC-072773.1-5225735-5226793,NC-072773.1,NC_072773.1,5225735,5226793,plpbp,0,gene_body,5.7947817,4.693053689,5.185635758,1.230514451,0.185169957,0.628795376,0.923122425,-0.601719075,0.93947854,TRUE,FALSE,FALSE,0.552900476,Progressively Downregulated,247,23,10.73913043,23,196,19,10.31578947,23
3,NC-072789.1-14353290-14356146,NC-072789.1,NC_072789.1,14353290,14356146,LOC129348319,6298,gene_body,4.291776561,5.099104932,4.873599913,-1.580566022,0.185169957,-0.963983496,0.923122425,0.616582526,0.93947854,TRUE,FALSE,FALSE,0.720677451,Progressively Upregulated,202,22,8.782608696,32,165,18,8.684210526,32
5,NC-072774.1-3507958-3509012,NC-072774.1,NC_072774.1,3507958,3509012,LOC129349636,14459,gene_body,5.10221729,4.549935087,5.835202785,1.096837601,0.977872286,-0.933571031,0.967882186,-2.030408631,0.057128345,FALSE,FALSE,TRUE,-1.327193765,Late Downregulated,106,23,4.608695652,10,83,19,4.368421053,10
6,NC-072781.1-14097086-14098342,NC-072781.1,NC_072781.1,14097086,14098342,psme4a,0,gene_body,5.634408396,6.287612565,6.884686149,-0.664514287,0.867907931,-1.292985126,0.076053429,-0.628470839,0.903717345,FALSE,TRUE,FALSE,1.91406885,Early Upregulated,288,23,12.52173913,26,227,19,11.94736842,22
6,NC-072769.1-5470759-5472270,NC-072769.1,NC_072769.1,5470759,5472270,LOC111568895,0,gene_body,4.82531544,6.346722822,4.781675572,-1.9421583,0.003229582,0.069470496,0.992069746,2.011628796,0.001520322,TRUE,FALSE,TRUE,-0.028683881,Late Upregulated,161,21,7,25,122,17,6.421052632,25
6,NC-072769.1-4681263-4683140,NC-072769.1,NC_072769.1,4681263,4683140,LOC111570667,0,gene_body,4.926046802,6.197522865,5.183782372,-1.738933068,0.028895019,-0.496216706,0.983982807,1.242716363,0.767966483,TRUE,FALSE,FALSE,0.202705798,Progressively Upregulated,147,23,6.391304348,22,118,19,6.210526316,22
11,NC-072778.1-22241399-22242756,NC-072778.1,NC_072778.1,22241399,22242756,uprt,0,gene_body,8.259920992,7.186163027,7.02433399,1.52541301,0.986767895,1.957917691,0.120208744,0.432504681,0.991018386,FALSE,TRUE,FALSE,1.150712769,Early Downregulated,95,22,4.130434783,14,75,18,3.947368421,14
12,NC-072776.1-24717877-24719609,NC-072776.1,NC_072776.1,24717877,24719609,LOC118470604,0,gene_body,6.954433347,6.601105571,5.742599074,1.022326721,0.876637856,2.729987776,0.004976378,1.707661055,0.883871247,FALSE,TRUE,FALSE,3.42977359,Early Downregulated,92,20,4,20,73,16,3.842105263,20
13,NC-072766.1-33412334-33413407,NC-072766.1,NC_072766.1,33412334,33413407,adamtsl3,0,gene_body,6.768976121,6.40065381,5.519587729,0.576484066,0.95929657,2.157689196,0.175269746,1.58120513,0.775569677,FALSE,TRUE,FALSE,3.392106191,Early Downregulated,89,22,3.869565217,10,75,18,3.947368421,10
13,NC-072770.1-26558969-26561294,NC-072770.1,NC_072770.1,26558969,26561294,LOC111581921,0,gene_body,6.36673444,7.005838473,7.483649834,-0.814955994,0.95929657,-1.471545549,0.175269746,-0.656589555,0.912104283,FALSE,TRUE,FALSE,1.747626891,Early Upregulated,175,23,7.608695652,16,142,19,7.473684211,16
15,NC-072770.1-33545970-33547322,NC-072770.1,NC_072770.1,33545970,33547322,itga7,0,gene_body,8.043866905,7.543833223,8.500209609,1.201680771,0.997091255,-0.422200791,0.992192209,-1.623881562,0.116233759,FALSE,FALSE,TRUE,-0.912623929,Late Downregulated,151,22,6.565217391,25,113,18,5.947368421,16
15,NC-072769.1-14979802-14981859,NC-072769.1,NC_072769.1,14979802,14981859,pcdh7a,0,gene_body,7.53461815,8.210972527,6.951703453,-1.37192328,0.997091255,0.5618796,0.992192209,1.933802879,0.116233759,FALSE,FALSE,TRUE,-0.861848043,Late Upregulated,83,20,3.608695652,11,64,17,3.368421053,11
15,NC-072789.1-20126110-20127478,NC-072789.1,NC_072789.1,20126110,20127478,LOC111582836,0,gene_body,8.310484671,8.846246486,7.602527602,-0.559475581,0.998806,0.902356557,0.992192209,1.461832138,0.116233759,FALSE,FALSE,TRUE,-1.321402626,Late Upregulated,158,22,6.869565217,19,123,18,6.473684211,15
17,NC-072775.1-10338171-10340113,NC-072775.1,NC_072775.1,10338171,10340113,serbp1b,0,gene_body,6.921522142,7.276791605,8.123856829,-0.644489972,0.966006081,-2.139973683,0.082491855,-1.49548371,0.295859792,FALSE,TRUE,FALSE,3.384289425,Early Upregulated,90,20,3.913043478,14,76,16,4,14
19,NC-072767.1-18176616-18178132,NC-072767.1,NC_072767.1,18176616,18178132,LOC111580207,0,gene_body,8.21245991,8.69946665,7.225912243,-0.770619877,0.999740745,1.068850835,0.990552135,1.839470712,0.120661194,FALSE,FALSE,TRUE,-2.025737197,Late Upregulated,117,20,5.086956522,19,104,17,5.473684211,19
19,NC-072779.1-12695438-12697910,NC-072779.1,NC_072779.1,12695438,12697910,nectin1a,1337,gene_body,8.474828115,8.904730348,7.364714618,-0.291813821,0.999740745,1.466777619,0.710745248,1.758591439,0.120661194,FALSE,FALSE,TRUE,-2.582246403,Late Upregulated,148,20,6.434782609,17,129,17,6.789473684,17
20,NC-072773.1-32782502-32783925,NC-072773.1,NC_072773.1,32782502,32783925,sort1b,0,gene_body,10.42548052,9.06522097,9.736123717,2.296068077,0.0324088,0.949967581,0.959422508,-1.346100496,0.999608891,TRUE,FALSE,FALSE,0.506783283,Progressively Downregulated,83,21,3.608695652,14,61,17,3.210526316,14
22,NC-072786.1-23282494-23284468,NC-072786.1,NC_072786.1,23282494,23284468,LOC129347873,0,gene_body,8.588110208,7.345016118,8.908062116,2.755423279,0.335660744,-0.409349103,0.98615099,-3.164772382,0.024366176,FALSE,FALSE,TRUE,-0.2573835,Late Downregulated,82,19,3.904761905,12,67,15,3.941176471,12
22,NC-072777.1-36000197-36001258,NC-072777.1,NC_072777.1,36000197,36001258,stmn4,0,gene_body,8.419679873,9.36804362,8.058971936,-1.222131136,0.82548454,0.575907911,0.98615099,1.798039047,0.131090278,FALSE,FALSE,TRUE,-0.380347665,Late Upregulated,86,21,4.095238095,9,66,17,3.882352941,9
22,NC-072783.1-16518244-16520076,NC-072783.1,NC_072783.1,16518244,16520076,tdrkh,0,gene_body,9.089265127,7.779905771,8.76382116,2.283819065,0.146345455,0.341432486,0.98615099,-1.942386579,0.519315288,TRUE,FALSE,FALSE,0.248552061,Progressively Downregulated,103,21,4.904761905,13,83,17,4.882352941,13
22,NC-072777.1-17299943-17301518,NC-072777.1,NC_072777.1,17299943,17301518,tmem121ab,0,gene_body,7.763446343,9.172721073,8.582664689,-2.157205938,0.136790311,-1.274433377,0.930601565,0.88277256,0.956056511,TRUE,FALSE,FALSE,0.581304928,Progressively Upregulated,81,19,3.857142857,10,67,15,3.941176471,10
23,NC-072783.1-24206213-24208047,NC-072783.1,NC_072783.1,24206213,24208047,luc7l,0,gene_body,10.51819909,9.662378448,10.99366577,2.29096393,0.355217265,-0.326866204,0.99291381,-2.617830134,0.045805373,FALSE,FALSE,TRUE,-0.555568148,Late Downregulated,80,19,3.47826087,21,63,15,3.315789474,21
