"","ensembl_gene_id","ensembl_peptide_id","ensembl_gene_id_version","external_gene_name","external_gene_source","hgnc_id","hgnc_symbol","zfin_id_id","zfin_id_symbol","mmusculus_homolog_ensembl_gene","mmusculus_homolog_associated_gene_name","mmusculus_homolog_orthology_type","mmusculus_homolog_perc_id","mmusculus_homolog_perc_id_r1","mmusculus_homolog_orthology_confidence"
"14","ENSAPEG00000000010","ENSAPEP00000000015","ENSAPEG00000000010.1","tppp3","ZFIN",NA,NA,"ZDB-GENE-040426-1909","tppp3","ENSMUSG00000014846","Tppp3","ortholog_one2one",51.7766,57.9545,0
"15","ENSAPEG00000000011","ENSAPEP00000000016","ENSAPEG00000000011.1","zdhhc1","ZFIN",NA,NA,"ZDB-GENE-130925-1","zdhhc1","ENSMUSG00000039199","Zdhhc1","ortholog_one2one",36.5455,41.5289,0
"16","ENSAPEG00000000011","ENSAPEP00000000017","ENSAPEG00000000011.1","zdhhc1","ZFIN",NA,NA,"ZDB-GENE-130925-1","zdhhc1","ENSMUSG00000039199","Zdhhc1","ortholog_one2one",36.5455,41.5289,0
"17","ENSAPEG00000000012","ENSAPEP00000000018","ENSAPEG00000000012.1","hsd11b2","ZFIN",NA,NA,"ZDB-GENE-030131-6030","hsd11b2","ENSMUSG00000031891","Hsd11b2","ortholog_one2one",44.665,46.6321,0
"18","ENSAPEG00000000013","ENSAPEP00000000019","ENSAPEG00000000013.1","CIB2","HGNC Symbol","HGNC:24579","CIB2",NA,NA,NA,NA,NA,NA,NA,NA
"19","ENSAPEG00000000013","ENSAPEP00000000020","ENSAPEG00000000013.1","CIB2","HGNC Symbol","HGNC:24579","CIB2",NA,NA,NA,NA,NA,NA,NA,NA
"20","ENSAPEG00000000014","ENSAPEP00000000021","ENSAPEG00000000014.1","IDH3A","HGNC Symbol","HGNC:5384","IDH3A",NA,NA,NA,NA,NA,NA,NA,NA
"21","ENSAPEG00000000015","ENSAPEP00000000022","ENSAPEG00000000015.1","ENSAPEG00000000015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","ENSAPEG00000000016","ENSAPEP00000000023","ENSAPEG00000000016.1","rab8b","ZFIN",NA,NA,"ZDB-GENE-070620-16","rab8b",NA,NA,NA,NA,NA,NA
"23","ENSAPEG00000000017","ENSAPEP00000000024","ENSAPEG00000000017.1","ENSAPEG00000000017",NA,NA,NA,NA,NA,"ENSMUSG00000014782","Plekhg4","ortholog_one2many",37.5847,27.3624,0
"24","ENSAPEG00000000017","ENSAPEP00000000025","ENSAPEG00000000017.1","ENSAPEG00000000017",NA,NA,NA,NA,NA,"ENSMUSG00000014782","Plekhg4","ortholog_one2many",37.5847,27.3624,0
"25","ENSAPEG00000000018","ENSAPEP00000000026","ENSAPEG00000000018.1","ENSAPEG00000000018",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","ENSAPEG00000000019","ENSAPEP00000000027","ENSAPEG00000000019.1","ENSAPEG00000000019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","ENSAPEG00000000019","ENSAPEP00000000028","ENSAPEG00000000019.1","ENSAPEG00000000019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","ENSAPEG00000000020","ENSAPEP00000000029","ENSAPEG00000000020.1","ENSAPEG00000000020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","ENSAPEG00000000021","ENSAPEP00000000030","ENSAPEG00000000021.1","slc9a5","ZFIN",NA,NA,"ZDB-GENE-080225-43","slc9a5","ENSMUSG00000014786","Slc9a5","ortholog_one2one",55.5437,58.0178,0
"30","ENSAPEG00000000022","ENSAPEP00000000031","ENSAPEG00000000022.1","fhod1","ZFIN",NA,NA,"ZDB-GENE-110623-4","fhod1","ENSMUSG00000014778","Fhod1","ortholog_one2one",56.7164,47.619,0
"31","ENSAPEG00000000023","ENSAPEP00000000032","ENSAPEG00000000023.1","ENSAPEG00000000023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","ENSAPEG00000000024","ENSAPEP00000000033","ENSAPEG00000000024.1","cebpg","ZFIN",NA,NA,"ZDB-GENE-020111-5","cebpg",NA,NA,NA,NA,NA,NA
"33","ENSAPEG00000000025","ENSAPEP00000000034","ENSAPEG00000000025.1","cebpa","ZFIN",NA,NA,"ZDB-GENE-020111-2","cebpa","ENSMUSG00000034957","Cebpa","ortholog_one2one",63.2812,22.5627,0
"34","ENSAPEG00000000026","ENSAPEP00000000035","ENSAPEG00000000026.1","gpatch1","ZFIN",NA,NA,"ZDB-GENE-040914-65","gpatch1","ENSMUSG00000063808","Gpatch1","ortholog_one2one",50.6908,51.2903,0
"35","ENSAPEG00000000027","ENSAPEP00000000036","ENSAPEG00000000027.1","ENSAPEG00000000027",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","ENSAPEG00000000028","ENSAPEP00000000037","ENSAPEG00000000028.1","wdr59","ZFIN",NA,NA,"ZDB-GENE-120215-187","wdr59","ENSMUSG00000031959","Wdr59","ortholog_one2one",74.4887,69.6878,0
"37","ENSAPEG00000000029","ENSAPEP00000000038","ENSAPEG00000000029.1","nob1","ZFIN",NA,NA,"ZDB-GENE-030131-3112","nob1",NA,NA,NA,NA,NA,NA
"38","ENSAPEG00000000029","ENSAPEP00000000039","ENSAPEG00000000029.1","nob1","ZFIN",NA,NA,"ZDB-GENE-030131-3112","nob1",NA,NA,NA,NA,NA,NA
"39","ENSAPEG00000000030","ENSAPEP00000000040","ENSAPEG00000000030.1","cog8","ZFIN",NA,NA,"ZDB-GENE-050320-74","cog8","ENSMUSG00000031916","Cog8","ortholog_one2many",64.4588,62.3438,0
"40","ENSAPEG00000000030","ENSAPEP00000000041","ENSAPEG00000000030.1","cog8","ZFIN",NA,NA,"ZDB-GENE-050320-74","cog8","ENSMUSG00000031916","Cog8","ortholog_one2many",64.4588,62.3438,0
"41","ENSAPEG00000000031","ENSAPEP00000000042","ENSAPEG00000000031.1","katnb1","ZFIN",NA,NA,"ZDB-GENE-040426-1954","katnb1","ENSMUSG00000031787","Katnb1","ortholog_one2many",65.4174,58.3587,0
"42","ENSAPEG00000000032","ENSAPEP00000000043","ENSAPEG00000000032.1","nob1","ZFIN",NA,NA,"ZDB-GENE-030131-3112","nob1","ENSMUSG00000003848","Nob1","ortholog_one2many",52.0085,61.0422,0
"43","ENSAPEG00000000032","ENSAPEP00000000044","ENSAPEG00000000032.1","nob1","ZFIN",NA,NA,"ZDB-GENE-030131-3112","nob1","ENSMUSG00000003848","Nob1","ortholog_one2many",52.0085,61.0422,0
"44","ENSAPEG00000000032","ENSAPEP00000000045","ENSAPEG00000000032.1","nob1","ZFIN",NA,NA,"ZDB-GENE-030131-3112","nob1","ENSMUSG00000003848","Nob1","ortholog_one2many",52.0085,61.0422,0
"45","ENSAPEG00000000033","ENSAPEP00000000046","ENSAPEG00000000033.1","cog8","ZFIN",NA,NA,"ZDB-GENE-050320-74","cog8",NA,NA,NA,NA,NA,NA
"46","ENSAPEG00000000033","ENSAPEP00000000047","ENSAPEG00000000033.1","cog8","ZFIN",NA,NA,"ZDB-GENE-050320-74","cog8",NA,NA,NA,NA,NA,NA
"47","ENSAPEG00000000034","ENSAPEP00000000048","ENSAPEG00000000034.1","katnb1","ZFIN",NA,NA,"ZDB-GENE-040426-1954","katnb1",NA,NA,NA,NA,NA,NA
"48","ENSAPEG00000000035","ENSAPEP00000000049","ENSAPEG00000000035.1","kifc3","ZFIN",NA,NA,"ZDB-GENE-030131-3724","kifc3","ENSMUSG00000031788","Kifc3","ortholog_one2many",60.1719,50.9709,0
"49","ENSAPEG00000000036","ENSAPEP00000000050","ENSAPEG00000000036.1","ENSAPEG00000000036",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","ENSAPEG00000000037","ENSAPEP00000000051","ENSAPEG00000000037.1","ENSAPEG00000000037",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","ENSAPEG00000000038","ENSAPEP00000000052","ENSAPEG00000000038.1","kifc3","ZFIN",NA,NA,"ZDB-GENE-030131-3724","kifc3",NA,NA,NA,NA,NA,NA
"52","ENSAPEG00000000039","ENSAPEP00000000053","ENSAPEG00000000039.1","ENSAPEG00000000039",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","ENSAPEG00000000040","ENSAPEP00000000054","ENSAPEG00000000040.1","cngb1a","ZFIN",NA,NA,"ZDB-GENE-050419-164","cngb1a",NA,NA,NA,NA,NA,NA
"54","ENSAPEG00000000040","ENSAPEP00000000055","ENSAPEG00000000040.1","cngb1a","ZFIN",NA,NA,"ZDB-GENE-050419-164","cngb1a",NA,NA,NA,NA,NA,NA
"55","ENSAPEG00000000041","ENSAPEP00000000056","ENSAPEG00000000041.1","cngb1a","ZFIN",NA,NA,"ZDB-GENE-050419-164","cngb1a",NA,NA,NA,NA,NA,NA
"56","ENSAPEG00000000041","ENSAPEP00000000057","ENSAPEG00000000041.1","cngb1a","ZFIN",NA,NA,"ZDB-GENE-050419-164","cngb1a",NA,NA,NA,NA,NA,NA
"57","ENSAPEG00000000041","ENSAPEP00000000058","ENSAPEG00000000041.1","cngb1a","ZFIN",NA,NA,"ZDB-GENE-050419-164","cngb1a",NA,NA,NA,NA,NA,NA
"58","ENSAPEG00000000042","ENSAPEP00000000059","ENSAPEG00000000042.1","ENSAPEG00000000042",NA,NA,NA,NA,NA,"ENSMUSG00000032231","Anxa2","ortholog_one2many",62.426,62.2419,0
"59","ENSAPEG00000000043","ENSAPEP00000000060","ENSAPEG00000000043.1","ENSAPEG00000000043",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","ENSAPEG00000000044","ENSAPEP00000000061","ENSAPEG00000000044.1","gtf2a2","ZFIN",NA,NA,"ZDB-GENE-050522-513","gtf2a2","ENSMUSG00000033543","Gtf2a2","ortholog_one2one",85.7143,88.0734,0
"61","ENSAPEG00000000044","ENSAPEP00000000062","ENSAPEG00000000044.1","gtf2a2","ZFIN",NA,NA,"ZDB-GENE-050522-513","gtf2a2","ENSMUSG00000033543","Gtf2a2","ortholog_one2one",85.7143,88.0734,0
"62","ENSAPEG00000000044","ENSAPEP00000000063","ENSAPEG00000000044.1","gtf2a2","ZFIN",NA,NA,"ZDB-GENE-050522-513","gtf2a2","ENSMUSG00000033543","Gtf2a2","ortholog_one2one",85.7143,88.0734,0
"63","ENSAPEG00000000045","ENSAPEP00000000064","ENSAPEG00000000045.1","znf395a","ZFIN",NA,NA,"ZDB-GENE-061215-52","znf395a",NA,NA,NA,NA,NA,NA
"64","ENSAPEG00000000046","ENSAPEP00000000065","ENSAPEG00000000046.1","PAQR8","HGNC Symbol","HGNC:15708","PAQR8",NA,NA,NA,NA,NA,NA,NA,NA
"65","ENSAPEG00000000046","ENSAPEP00000000066","ENSAPEG00000000046.1","PAQR8","HGNC Symbol","HGNC:15708","PAQR8",NA,NA,NA,NA,NA,NA,NA,NA
"66","ENSAPEG00000000046","ENSAPEP00000000067","ENSAPEG00000000046.1","PAQR8","HGNC Symbol","HGNC:15708","PAQR8",NA,NA,NA,NA,NA,NA,NA,NA
"67","ENSAPEG00000000046","ENSAPEP00000000068","ENSAPEG00000000046.1","PAQR8","HGNC Symbol","HGNC:15708","PAQR8",NA,NA,NA,NA,NA,NA,NA,NA
"68","ENSAPEG00000000046","ENSAPEP00000000069","ENSAPEG00000000046.1","PAQR8","HGNC Symbol","HGNC:15708","PAQR8",NA,NA,NA,NA,NA,NA,NA,NA
"69","ENSAPEG00000000046","ENSAPEP00000000070","ENSAPEG00000000046.1","PAQR8","HGNC Symbol","HGNC:15708","PAQR8",NA,NA,NA,NA,NA,NA,NA,NA
"70","ENSAPEG00000000047","ENSAPEP00000000071","ENSAPEG00000000047.1","ENSAPEG00000000047",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","ENSAPEG00000000048","ENSAPEP00000000072","ENSAPEG00000000048.1","il17a/f1","ZFIN",NA,NA,"ZDB-GENE-061031-3","il17a/f1","ENSMUSG00000041872","Il17f","ortholog_one2many",24.375,24.2236,0
"72","ENSAPEG00000000049","ENSAPEP00000000073","ENSAPEG00000000049.1","STMN4","HGNC Symbol","HGNC:16078","STMN4",NA,NA,NA,NA,NA,NA,NA,NA
"73","ENSAPEG00000000050","ENSAPEP00000000074","ENSAPEG00000000050.1","gpn1","ZFIN",NA,NA,"ZDB-GENE-040801-154","gpn1","ENSMUSG00000064037","Gpn1","ortholog_one2many",70.4545,75,0
"74","ENSAPEG00000000050","ENSAPEP00000000075","ENSAPEG00000000050.1","gpn1","ZFIN",NA,NA,"ZDB-GENE-040801-154","gpn1","ENSMUSG00000064037","Gpn1","ortholog_one2many",70.4545,75,0
"75","ENSAPEG00000000050","ENSAPEP00000000076","ENSAPEG00000000050.1","gpn1","ZFIN",NA,NA,"ZDB-GENE-040801-154","gpn1","ENSMUSG00000064037","Gpn1","ortholog_one2many",70.4545,75,0
"76","ENSAPEG00000000050","ENSAPEP00000000077","ENSAPEG00000000050.1","gpn1","ZFIN",NA,NA,"ZDB-GENE-040801-154","gpn1","ENSMUSG00000064037","Gpn1","ortholog_one2many",70.4545,75,0
"77","ENSAPEG00000000051","ENSAPEP00000000078","ENSAPEG00000000051.1","ENSAPEG00000000051",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","ENSAPEG00000000052","ENSAPEP00000000079","ENSAPEG00000000052.1","ENSAPEG00000000052",NA,NA,NA,NA,NA,"ENSMUSG00000046949","Nqo2","ortholog_one2many",45.2899,54.1126,0
"79","ENSAPEG00000000053","ENSAPEP00000000080","ENSAPEG00000000053.1","nqo1","ZFIN",NA,NA,"ZDB-GENE-030131-1226","nqo1","ENSMUSG00000003849","Nqo1","ortholog_one2one",54.7101,55.1095,0
"80","ENSAPEG00000000054","ENSAPEP00000000081","ENSAPEG00000000054.1","GABARAPL2","HGNC Symbol","HGNC:13291","GABARAPL2",NA,NA,NA,NA,NA,NA,NA,NA
"81","ENSAPEG00000000054","ENSAPEP00000000082","ENSAPEG00000000054.1","GABARAPL2","HGNC Symbol","HGNC:13291","GABARAPL2",NA,NA,NA,NA,NA,NA,NA,NA
"82","ENSAPEG00000000055","ENSAPEP00000000083","ENSAPEG00000000055.1","kcng4b","ZFIN",NA,NA,"ZDB-GENE-130530-634","kcng4b",NA,NA,NA,NA,NA,NA
"83","ENSAPEG00000000056","ENSAPEP00000000084","ENSAPEG00000000056.1","rpl12","ZFIN",NA,NA,"ZDB-GENE-030131-5297","rpl12","ENSMUSG00000038900","Rpl12","ortholog_one2one",75.5435,84.2424,0
"84","ENSAPEG00000000059","ENSAPEP00000000085","ENSAPEG00000000059.1","pole3","ZFIN",NA,NA,"ZDB-GENE-040426-1773","pole3",NA,NA,NA,NA,NA,NA
"85","ENSAPEG00000000060","ENSAPEP00000000086","ENSAPEG00000000060.1","kmt5b","ZFIN",NA,NA,"ZDB-GENE-041114-22","kmt5b","ENSMUSG00000045098","Kmt5b","ortholog_one2one",53.6416,52.5481,0
"86","ENSAPEG00000000061","ENSAPEP00000000087","ENSAPEG00000000061.1","cd82a","ZFIN",NA,NA,"ZDB-GENE-030131-2818","cd82a",NA,NA,NA,NA,NA,NA
"87","ENSAPEG00000000062","ENSAPEP00000000088","ENSAPEG00000000062.1","ENSAPEG00000000062",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","ENSAPEG00000000063","ENSAPEP00000000089","ENSAPEG00000000063.1","tspan18a","ZFIN",NA,NA,"ZDB-GENE-040718-232","tspan18a",NA,NA,NA,NA,NA,NA
"89","ENSAPEG00000000064","ENSAPEP00000000090","ENSAPEG00000000064.1","ENSAPEG00000000064",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","ENSAPEG00000000065","ENSAPEP00000000091","ENSAPEG00000000065.1","il17a/f1","ZFIN",NA,NA,"ZDB-GENE-061031-3","il17a/f1",NA,NA,NA,NA,NA,NA
"91","ENSAPEG00000000066","ENSAPEP00000000092","ENSAPEG00000000066.1","STMN4","HGNC Symbol","HGNC:16078","STMN4",NA,NA,NA,NA,NA,NA,NA,NA
"92","ENSAPEG00000000067","ENSAPEP00000000093","ENSAPEG00000000067.1","gpn1","ZFIN",NA,NA,"ZDB-GENE-040801-154","gpn1",NA,NA,NA,NA,NA,NA
"93","ENSAPEG00000000068","ENSAPEP00000000094","ENSAPEG00000000068.1","ENSAPEG00000000068",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","ENSAPEG00000000069","ENSAPEP00000000095","ENSAPEG00000000069.1","ENSAPEG00000000069",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","ENSAPEG00000000070","ENSAPEP00000000096","ENSAPEG00000000070.1","egln3","ZFIN",NA,NA,"ZDB-GENE-040426-2541","egln3","ENSMUSG00000035105","Egln3","ortholog_one2many",58.0087,56.0669,0
"96","ENSAPEG00000000071","ENSAPEP00000000097","ENSAPEG00000000071.1","tipin","ZFIN",NA,NA,"ZDB-GENE-040801-189","tipin","ENSMUSG00000032397","Tipin","ortholog_one2one",34.3284,41.3669,1
"97","ENSAPEG00000000071","ENSAPEP00000000098","ENSAPEG00000000071.1","tipin","ZFIN",NA,NA,"ZDB-GENE-040801-189","tipin","ENSMUSG00000032397","Tipin","ortholog_one2one",34.3284,41.3669,1
"98","ENSAPEG00000000072","ENSAPEP00000000099","ENSAPEG00000000072.1","dis3l","ZFIN",NA,NA,"ZDB-GENE-070209-95","dis3l","ENSMUSG00000032396","Dis3l","ortholog_one2one",62.004,59.3542,0
"99","ENSAPEG00000000073","ENSAPEP00000000100","ENSAPEG00000000073.1","ENSAPEG00000000073",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","ENSAPEG00000000074","ENSAPEP00000000101","ENSAPEG00000000074.1","ENSAPEG00000000074",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","ENSAPEG00000000075","ENSAPEP00000000102","ENSAPEG00000000075.1","rab11a","ZFIN",NA,NA,"ZDB-GENE-041114-53","rab11a","ENSMUSG00000004771","Rab11a","ortholog_one2one",93.9535,93.5185,1
"102","ENSAPEG00000000076","ENSAPEP00000000103","ENSAPEG00000000076.1","si:ch211-112g6.4","ZFIN",NA,NA,"ZDB-GENE-160728-119","si:ch211-112g6.4",NA,NA,NA,NA,NA,NA
"103","ENSAPEG00000000076","ENSAPEP00000000104","ENSAPEG00000000076.1","si:ch211-112g6.4","ZFIN",NA,NA,"ZDB-GENE-160728-119","si:ch211-112g6.4",NA,NA,NA,NA,NA,NA
"104","ENSAPEG00000000077","ENSAPEP00000000105","ENSAPEG00000000077.1","ENSAPEG00000000077",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","ENSAPEG00000000078","ENSAPEP00000000106","ENSAPEG00000000078.1","ENSAPEG00000000078",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","ENSAPEG00000000079","ENSAPEP00000000107","ENSAPEG00000000079.1","dapk2a","ZFIN",NA,NA,"ZDB-GENE-080402-8","dapk2a","ENSMUSG00000032380","Dapk2","ortholog_one2many",68.0162,68.5714,0
"107","ENSAPEG00000000080","ENSAPEP00000000108","ENSAPEG00000000080.1","ENSAPEG00000000080",NA,NA,NA,NA,NA,"ENSMUSG00000038664","Herc1","ortholog_one2many",86.7041,9.52871,0
"108","ENSAPEG00000000081","ENSAPEP00000000109","ENSAPEG00000000081.1","ENSAPEG00000000081",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","ENSAPEG00000000082","ENSAPEP00000000110","ENSAPEG00000000082.1","ENSAPEG00000000082",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","ENSAPEG00000000083","ENSAPEP00000000111","ENSAPEG00000000083.1","ENSAPEG00000000083",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","ENSAPEG00000000084","ENSAPEP00000000112","ENSAPEG00000000084.1","ENSAPEG00000000084",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","ENSAPEG00000000085","ENSAPEP00000000113","ENSAPEG00000000085.1","ENSAPEG00000000085",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","ENSAPEG00000000085","ENSAPEP00000000114","ENSAPEG00000000085.1","ENSAPEG00000000085",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","ENSAPEG00000000085","ENSAPEP00000000115","ENSAPEG00000000085.1","ENSAPEG00000000085",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","ENSAPEG00000000086","ENSAPEP00000000116","ENSAPEG00000000086.1","ENSAPEG00000000086",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","ENSAPEG00000000087","ENSAPEP00000000117","ENSAPEG00000000087.1","ENSAPEG00000000087",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","ENSAPEG00000000088","ENSAPEP00000000118","ENSAPEG00000000088.1","ENSAPEG00000000088",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","ENSAPEG00000000089","ENSAPEP00000000119","ENSAPEG00000000089.1","taldo1","ZFIN",NA,NA,"ZDB-GENE-030131-3277","taldo1","ENSMUSG00000025503","Taldo1","ortholog_one2many",76.2611,67.2775,0
"119","ENSAPEG00000000090","ENSAPEP00000000120","ENSAPEG00000000090.1","taldo1","ZFIN",NA,NA,"ZDB-GENE-030131-3277","taldo1",NA,NA,NA,NA,NA,NA
"120","ENSAPEG00000000091","ENSAPEP00000000121","ENSAPEG00000000091.1","tspan4a","ZFIN",NA,NA,"ZDB-GENE-040718-38","tspan4a","ENSMUSG00000025511","Tspan4","ortholog_one2one",65.7407,63.964,0
"121","ENSAPEG00000000091","ENSAPEP00000000122","ENSAPEG00000000091.1","tspan4a","ZFIN",NA,NA,"ZDB-GENE-040718-38","tspan4a","ENSMUSG00000025511","Tspan4","ortholog_one2one",65.7407,63.964,0
"122","ENSAPEG00000000092","ENSAPEP00000000123","ENSAPEG00000000092.1","ddb1","ZFIN",NA,NA,"ZDB-GENE-040426-1272","ddb1","ENSMUSG00000024740","Ddb1","ortholog_one2one",91.3158,91.3158,0
"123","ENSAPEG00000000092","ENSAPEP00000000124","ENSAPEG00000000092.1","ddb1","ZFIN",NA,NA,"ZDB-GENE-040426-1272","ddb1","ENSMUSG00000024740","Ddb1","ortholog_one2one",91.3158,91.3158,0
"124","ENSAPEG00000000093","ENSAPEP00000000125","ENSAPEG00000000093.1","cfap70","ZFIN",NA,NA,"ZDB-GENE-091204-50","cfap70","ENSMUSG00000039543","Cfap70","ortholog_one2one",39.7536,31.1131,0
"125","ENSAPEG00000000094","ENSAPEP00000000126","ENSAPEG00000000094.1","tmem138","ZFIN",NA,NA,"ZDB-GENE-120912-1","tmem138",NA,NA,NA,NA,NA,NA
"126","ENSAPEG00000000095","ENSAPEP00000000127","ENSAPEG00000000095.1","cd151l","ZFIN",NA,NA,"ZDB-GENE-040426-1868","cd151l","ENSMUSG00000025510","Cd151","ortholog_one2many",72.7273,72.7273,0
"127","ENSAPEG00000000096","ENSAPEP00000000128","ENSAPEG00000000096.1","ENSAPEG00000000096",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","ENSAPEG00000000096","ENSAPEP00000000129","ENSAPEG00000000096.1","ENSAPEG00000000096",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","ENSAPEG00000000096","ENSAPEP00000000130","ENSAPEG00000000096.1","ENSAPEG00000000096",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","ENSAPEG00000000097","ENSAPEP00000000131","ENSAPEG00000000097.1","kcna4","ZFIN",NA,NA,"ZDB-GENE-121127-2","kcna4","ENSMUSG00000042604","Kcna4","ortholog_one2one",75.2066,55.6575,0
"131","ENSAPEG00000000098","ENSAPEP00000000132","ENSAPEG00000000098.1","arl14ep","ZFIN",NA,NA,"ZDB-GENE-060825-216","arl14ep","ENSMUSG00000027122","Arl14ep","ortholog_one2many",35.9091,28.6232,0
"132","ENSAPEG00000000099","ENSAPEP00000000133","ENSAPEG00000000099.1","nr1h3","ZFIN",NA,NA,"ZDB-GENE-050410-7","nr1h3","ENSMUSG00000002108","Nr1h3","ortholog_one2one",65.0759,67.4157,0
"133","ENSAPEG00000000099","ENSAPEP00000000134","ENSAPEG00000000099.1","nr1h3","ZFIN",NA,NA,"ZDB-GENE-050410-7","nr1h3","ENSMUSG00000002108","Nr1h3","ortholog_one2one",65.0759,67.4157,0
