cluster_id,peak,chromosome,chromosome_norm,start,end,nearest_gene,distance_to_gene,nearest_feature_type,mean_logCPM_M,mean_logCPM_F,mean_logCPM_D,M_vs_F_logFC,M_vs_F_FDR,M_vs_D_logFC,M_vs_D_FDR,F_vs_D_logFC,F_vs_D_FDR,sig_M_vs_F,sig_M_vs_D,sig_F_vs_D,D_position_between_M_and_F,classification,total_counts_all_individuals,nonzero_individuals_all,mean_counts_all_individuals,max_counts_any_individual,total_counts_test_individuals,nonzero_individuals_test,mean_counts_test_individuals,max_counts_test_individual
1,NC-072776.1-4515356-4516050,NC-072776.1,NC_072776.1,4515356,4516050,plekhm3,0,gene_body,4.6222439733,3.1801705262,3.8983797910,2.1882951148,0.1516788285,0.8606481914,0.9976910588,-1.3276469234,0.7181792844,TRUE,FALSE,FALSE,0.5019606899,Progressively Downregulated,101,22,4.3913043478,13,70,18,3.6842105263,10
1,NC-072769.1-26698096-26699092,NC-072769.1,NC_072769.1,26698096,26699092,sorbs2a,0,gene_body,3.3319676008,4.7551748453,3.9283721358,-2.0156492435,0.1516788285,-0.9159424435,0.9976910588,1.0997068000,0.5732433437,TRUE,FALSE,FALSE,0.4190567026,Progressively Upregulated,129,22,5.6086956522,16,83,18,4.3684210526,11
2,NC-072774.1-19892886-19894606,NC-072774.1,NC_072774.1,19892886,19894606,pou3f1,9372,gene_body,6.9367509557,7.7866895538,6.9309093821,-0.7673687426,0.5081803426,0.1731589811,0.9942153053,0.9405277237,0.1080392861,FALSE,FALSE,TRUE,-0.0068729360,Late Upregulated,482,23,20.9565217391,99,384,19,20.2105263158,99
2,NC-072769.1-5470759-5472270,NC-072769.1,NC_072769.1,5470759,5472270,LOC111568895,0,gene_body,5.9370691480,6.5604680415,5.5632649075,-1.0325668692,0.6045952591,0.4289313077,0.9885344415,1.4614981770,0.1080392861,FALSE,FALSE,TRUE,-0.5996228809,Late Upregulated,220,23,9.5652173913,58,165,19,8.6842105263,58
2,NC-072773.1-26727351-26729232,NC-072773.1,NC_072773.1,26727351,26729232,LOC111586668,0,gene_body,6.7117910196,5.6626852115,5.9882647887,1.3946695984,0.0863915926,0.7262922234,0.9387148014,-0.6683773750,0.8895410887,TRUE,FALSE,FALSE,0.6896599231,Progressively Downregulated,184,23,8.0000000000,20,137,19,7.2105263158,17
2,NC-072773.1-5268262-5269237,NC-072773.1,NC_072773.1,5268262,5269237,tbc1d22b,0,gene_body,6.4078829228,5.1443757327,5.7973212043,1.5613625309,0.1602043455,0.5181232693,0.9698152331,-1.0432392616,0.7820600162,TRUE,FALSE,FALSE,0.4832277357,Progressively Downregulated,131,22,5.6956521739,12,103,18,5.4210526316,12
2,NC-072769.1-24775867-24777375,NC-072769.1,NC_072769.1,24775867,24777375,LOC111562847,0,gene_body,5.8771189307,4.8352212318,5.3243441965,1.9308153660,0.1698386961,0.6441386898,0.9696620045,-1.2866766761,0.7893258306,TRUE,FALSE,FALSE,0.5305460745,Progressively Downregulated,86,20,3.7391304348,10,65,17,3.4210526316,8
2,NC-072783.1-24789306-24790858,NC-072783.1,NC_072783.1,24789306,24790858,rab11fip3,0,gene_body,6.9134643650,5.8357384372,6.3566228322,1.2133983136,0.1698386961,0.6116854104,0.9406623683,-0.6017129032,0.8895410887,TRUE,FALSE,FALSE,0.5166819490,Progressively Downregulated,222,23,9.6521739130,29,162,19,8.5263157895,23
2,NC-072775.1-31346321-31347186,NC-072775.1,NC_072775.1,31346321,31347186,pard3ab,0,gene_body,4.6893220744,6.1889125958,5.6148241307,-2.5135640277,0.0206567704,-1.9999754789,0.6184253375,0.5135885488,0.9567319950,TRUE,FALSE,FALSE,0.6171698494,Progressively Upregulated,130,20,5.6521739130,27,102,16,5.3684210526,27
2,NC-072769.1-3196109-3197177,NC-072769.1,NC_072769.1,3196109,3197177,LOC111563084,10667,gene_body,5.1085089077,6.3533846970,5.5059343400,-1.9386456150,0.0530922578,-1.2656343235,0.9170246863,0.6730112915,0.8572976203,TRUE,FALSE,FALSE,0.3192490655,Progressively Upregulated,160,20,6.9565217391,37,133,16,7.0000000000,37
2,NC-072769.1-28564170-28565646,NC-072769.1,NC_072769.1,28564170,28565646,trnak-uuu,0,gene_body,4.7339507129,6.1590680041,5.6164848008,-2.0653408561,0.0863915926,-1.4050011449,0.9170246863,0.6603397112,0.8895410887,TRUE,FALSE,FALSE,0.6192711950,Progressively Upregulated,139,21,6.0434782609,27,97,17,5.1052631579,27
3,NC-072769.1-7465082-7468588,NC-072769.1,NC_072769.1,7465082,7468588,LOC111584070,531,gene_body,4.8034898709,4.1707539996,5.6049744165,0.8179454911,0.9923563509,-1.0281391842,0.7977219842,-1.8460846753,0.0031763506,FALSE,FALSE,TRUE,-1.2666968666,Late Downregulated,192,23,8.3478260870,18,147,19,7.7368421053,17
3,NC-072784.1-1693030-1695533,NC-072784.1,NC_072784.1,1693030,1695533,igf2bp1,0,gene_body,4.9128760015,3.6774599891,5.0494986577,1.8371957069,0.2809073793,-0.3103491534,0.9951766193,-2.1475448603,0.0110348174,FALSE,FALSE,TRUE,-0.1105883806,Late Downregulated,138,22,6.0000000000,12,112,19,5.8947368421,12
3,NC-072780.1-25555133-25556354,NC-072780.1,NC_072780.1,25555133,25556354,pex11b,0,gene_body,3.5394902863,4.5151245320,3.4785598070,-2.0237042862,0.1851699566,0.3092726851,0.9963368327,2.3329769714,0.0390785021,TRUE,FALSE,TRUE,-0.0624521735,Late Upregulated,81,17,3.5217391304,23,72,15,3.7894736842,23
3,NC-072773.1-5225735-5226793,NC-072773.1,NC_072773.1,5225735,5226793,plpbp,0,gene_body,5.7947816997,4.6930536887,5.1856357580,1.2305144508,0.1851699566,0.6287953760,0.9231224250,-0.6017190748,0.9394785403,TRUE,FALSE,FALSE,0.5529004760,Progressively Downregulated,247,23,10.7391304348,23,196,19,10.3157894737,23
3,NC-072789.1-14353290-14356146,NC-072789.1,NC_072789.1,14353290,14356146,LOC129348319,6298,gene_body,4.2917765609,5.0991049322,4.8735999134,-1.5805660219,0.1851699566,-0.9639834957,0.9231224250,0.6165825262,0.9394785403,TRUE,FALSE,FALSE,0.7206774508,Progressively Upregulated,202,22,8.7826086957,32,165,18,8.6842105263,32
5,NC-072774.1-3507958-3509012,NC-072774.1,NC_072774.1,3507958,3509012,LOC129349636,14459,gene_body,5.1022172895,4.5499350871,5.8352027850,1.0968376006,0.9778722858,-0.9335710305,0.9678821855,-2.0304086311,0.0571283453,FALSE,FALSE,TRUE,-1.3271937649,Late Downregulated,106,23,4.6086956522,10,83,19,4.3684210526,10
6,NC-072781.1-14097086-14098342,NC-072781.1,NC_072781.1,14097086,14098342,psme4a,0,gene_body,5.6344083956,6.2876125648,6.8846861485,-0.6645142873,0.8679079311,-1.2929851263,0.0760534285,-0.6284708390,0.9037173452,FALSE,TRUE,FALSE,1.9140688500,Early Upregulated,288,23,12.5217391304,26,227,19,11.9473684211,22
6,NC-072769.1-5470759-5472270,NC-072769.1,NC_072769.1,5470759,5472270,LOC111568895,0,gene_body,4.8253154404,6.3467228217,4.7816755721,-1.9421582998,0.0032295822,0.0694704957,0.9920697460,2.0116287955,0.0015203216,TRUE,FALSE,TRUE,-0.0286838810,Late Upregulated,161,21,7.0000000000,25,122,17,6.4210526316,25
6,NC-072769.1-4681263-4683140,NC-072769.1,NC_072769.1,4681263,4683140,LOC111570667,0,gene_body,4.9260468022,6.1975228653,5.1837823718,-1.7389330681,0.0288950191,-0.4962167055,0.9839828067,1.2427163626,0.7679664830,TRUE,FALSE,FALSE,0.2027057977,Progressively Upregulated,147,23,6.3913043478,22,118,19,6.2105263158,22
11,NC-072778.1-22241399-22242756,NC-072778.1,NC_072778.1,22241399,22242756,uprt,0,gene_body,8.2599209922,7.1861630270,7.0243339904,1.5254130102,0.9867678949,1.9579176912,0.1202087437,0.4325046810,0.9910183860,FALSE,TRUE,FALSE,1.1507127694,Early Downregulated,95,22,4.1304347826,14,75,18,3.9473684211,14
12,NC-072776.1-24717877-24719609,NC-072776.1,NC_072776.1,24717877,24719609,LOC118470604,0,gene_body,6.9544333466,6.6011055712,5.7425990739,1.0223267206,0.8766378558,2.7299877756,0.0049763782,1.7076610550,0.8838712472,FALSE,TRUE,FALSE,3.4297735898,Early Downregulated,92,20,4.0000000000,20,73,16,3.8421052632,20
13,NC-072766.1-33412334-33413407,NC-072766.1,NC_072766.1,33412334,33413407,adamtsl3,0,gene_body,6.7689761213,6.4006538102,5.5195877293,0.5764840659,0.9592965696,2.1576891963,0.1752697460,1.5812051304,0.7755696774,FALSE,TRUE,FALSE,3.3921061914,Early Downregulated,89,22,3.8695652174,10,75,18,3.9473684211,10
13,NC-072770.1-26558969-26561294,NC-072770.1,NC_072770.1,26558969,26561294,LOC111581921,0,gene_body,6.3667344400,7.0058384731,7.4836498341,-0.8149559944,0.9592965696,-1.4715455490,0.1752697460,-0.6565895546,0.9121042827,FALSE,TRUE,FALSE,1.7476268905,Early Upregulated,175,23,7.6086956522,16,142,19,7.4736842105,16
15,NC-072770.1-33545970-33547322,NC-072770.1,NC_072770.1,33545970,33547322,itga7,0,gene_body,8.0438669051,7.5438332226,8.5002096089,1.2016807711,0.9970912549,-0.4222007905,0.9921922087,-1.6238815616,0.1162337588,FALSE,FALSE,TRUE,-0.9126239285,Late Downregulated,151,22,6.5652173913,25,113,18,5.9473684211,16
15,NC-072769.1-14979802-14981859,NC-072769.1,NC_072769.1,14979802,14981859,pcdh7a,0,gene_body,7.5346181495,8.2109725266,6.9517034534,-1.3719232799,0.9970912549,0.5618795995,0.9921922087,1.9338028794,0.1162337588,FALSE,FALSE,TRUE,-0.8618480429,Late Upregulated,83,20,3.6086956522,11,64,17,3.3684210526,11
15,NC-072789.1-20126110-20127478,NC-072789.1,NC_072789.1,20126110,20127478,LOC111582836,0,gene_body,8.3104846709,8.8462464856,7.6025276022,-0.5594755813,0.9988059997,0.9023565567,0.9921922087,1.4618321379,0.1162337588,FALSE,FALSE,TRUE,-1.3214026255,Late Upregulated,158,22,6.8695652174,19,123,18,6.4736842105,15
17,NC-072775.1-10338171-10340113,NC-072775.1,NC_072775.1,10338171,10340113,serbp1b,0,gene_body,6.9215221421,7.2767916053,8.1238568292,-0.6444899722,0.9660060810,-2.1399736826,0.0824918550,-1.4954837104,0.2958597915,FALSE,TRUE,FALSE,3.3842894245,Early Upregulated,90,20,3.9130434783,14,76,16,4.0000000000,14
19,NC-072767.1-18176616-18178132,NC-072767.1,NC_072767.1,18176616,18178132,LOC111580207,0,gene_body,8.2124599101,8.6994666496,7.2259122428,-0.7706198769,0.9997407453,1.0688508349,0.9905521352,1.8394707118,0.1206611940,FALSE,FALSE,TRUE,-2.0257371969,Late Upregulated,117,20,5.0869565217,19,104,17,5.4736842105,19
19,NC-072779.1-12695438-12697910,NC-072779.1,NC_072779.1,12695438,12697910,nectin1a,1337,gene_body,8.4748281145,8.9047303482,7.3647146181,-0.2918138205,0.9997407453,1.4667776185,0.7107452480,1.7585914390,0.1206611940,FALSE,FALSE,TRUE,-2.5822464029,Late Upregulated,148,20,6.4347826087,17,129,17,6.7894736842,17
20,NC-072773.1-32782502-32783925,NC-072773.1,NC_072773.1,32782502,32783925,sort1b,0,gene_body,10.4254805163,9.0652209697,9.7361237173,2.2960680771,0.0324087996,0.9499675808,0.9594225084,-1.3461004963,0.9996088906,TRUE,FALSE,FALSE,0.5067832832,Progressively Downregulated,83,21,3.6086956522,14,61,17,3.2105263158,14
22,NC-072786.1-23282494-23284468,NC-072786.1,NC_072786.1,23282494,23284468,LOC129347873,0,gene_body,8.5881102080,7.3450161184,8.9080621158,2.7554232793,0.3356607440,-0.4093491025,0.9861509895,-3.1647723818,0.0243661760,FALSE,FALSE,TRUE,-0.2573835002,Late Downregulated,82,19,3.9047619048,12,67,15,3.9411764706,12
22,NC-072777.1-36000197-36001258,NC-072777.1,NC_072777.1,36000197,36001258,stmn4,0,gene_body,8.4196798726,9.3680436201,8.0589719356,-1.2221311358,0.8254845404,0.5759079110,0.9861509895,1.7980390468,0.1310902783,FALSE,FALSE,TRUE,-0.3803476650,Late Upregulated,86,21,4.0952380952,9,66,17,3.8823529412,9
22,NC-072783.1-16518244-16520076,NC-072783.1,NC_072783.1,16518244,16520076,tdrkh,0,gene_body,9.0892651265,7.7799057705,8.7638211601,2.2838190651,0.1463454551,0.3414324862,0.9861509895,-1.9423865789,0.5193152879,TRUE,FALSE,FALSE,0.2485520609,Progressively Downregulated,103,21,4.9047619048,13,83,17,4.8823529412,13
22,NC-072777.1-17299943-17301518,NC-072777.1,NC_072777.1,17299943,17301518,tmem121ab,0,gene_body,7.7634463434,9.1727210734,8.5826646890,-2.1572059375,0.1367903114,-1.2744333774,0.9306015653,0.8827725601,0.9560565110,TRUE,FALSE,FALSE,0.5813049281,Progressively Upregulated,81,19,3.8571428571,10,67,15,3.9411764706,10
23,NC-072783.1-24206213-24208047,NC-072783.1,NC_072783.1,24206213,24208047,luc7l,0,gene_body,10.5181990853,9.6623784477,10.9936657721,2.2909639304,0.3552172649,-0.3268662039,0.9929138097,-2.6178301343,0.0458053726,FALSE,FALSE,TRUE,-0.5555681481,Late Downregulated,80,19,3.4782608696,21,63,15,3.3157894737,21
